,name,port_id,lat_port,lon_port,iso2,h3_5,h3_5_hexring
0,VYSOTSKI,14928,60.616,28.566,ru,8511049bfffffff,"['851104d7fffffff', '8511226ffffffff', '85112267fffffff', '8511048bfffffff', '85110483fffffff', '85110493fffffff', '8511049bfffffff']"
1,UST-LUGA,8214872,59.683,28.434,ru,85113103fffffff,"['8511310bfffffff', '8511311bfffffff', '85113113fffffff', '8511310ffffffff', '85113107fffffff', '85113117fffffff', '85113103fffffff']"
2,LOKSA,81274125,59.5833,25.7,ee,85089b67fffffff,"['85089b77fffffff', '85089b63fffffff', '85089b6ffffffff', '8511359bfffffff', '85089b2bfffffff', '85113593fffffff', '85089b67fffffff']"
3,MUUGA,645,59.482,24.955,ee,85089b0bfffffff,"['85089b1bfffffff', '85089b57fffffff', '85089b03fffffff', '85089b0ffffffff', '85089b73fffffff', '85089b47fffffff', '85089b0bfffffff']"
4,KUNDA,34679,59.5158,26.53313,ee,8511351bfffffff,"['851135c7fffffff', '8511350bfffffff', '851135cffffffff', '85113513fffffff', '85113503fffffff', '85113557fffffff', '8511351bfffffff']"
5,PALDISKI,1274,59.33123,24.0829,ee,8508986ffffffff,"['85089867fffffff', '85089863fffffff', '85089bd3fffffff', '85089b9bfffffff', '8508986bfffffff', '85089bd7fffffff', '8508986ffffffff']"
6,PÄRNU,69319,58.3832999,24.549,ee,85089a4ffffffff,"['85089a7bfffffff', '85089a4bfffffff', '85089a47fffffff', '851f6593fffffff', '851f659bfffffff', '85089a43fffffff', '85089a4ffffffff']"
7,HAAPSALU,90214,58.91666,23.501023,ee,85089a87fffffff,"['85089ab3fffffff', '85089a8ffffffff', '8508984bfffffff', '85089a97fffffff', '85089abbfffffff', '85089a83fffffff', '85089a87fffffff']"
8,SILLAMÄE,93482,59.3992,27.733042,ee,851131d3fffffff,"['8511356ffffffff', '851131dbfffffff', '8511356bfffffff', '851130a7fffffff', '851131c3fffffff', '851131d7fffffff', '851131d3fffffff']"
9,LIEBAJA,24788,56.499,20.9839129,lv,851f7513fffffff,"['851f758bfffffff', '851f751bfffffff', '851f7503fffffff', '851f758ffffffff', '851f7517fffffff', '851f75c7fffffff', '851f7513fffffff']"
10,BOHUS,8763428,57.824,12.016124,se,851f25abfffffff,"['851f25affffffff', '851f2533fffffff', '851f2507fffffff', '851f25bbfffffff', '851f25a3fffffff', '851f2517fffffff', '851f25abfffffff']"
11,FALKENBERG,8241721,56.916,12.499,se,851f211bfffffff,"['851f210bfffffff', '851f21cffffffff', '851f2113fffffff', '851f2103fffffff', '851f21c7fffffff', '851f2157fffffff', '851f211bfffffff']"
12,FREDRIKSHAMN,897421,57.433299,10.530099,dk,851f2423fffffff,"['851f2427fffffff', '851f242bfffffff', '851f2433fffffff', '851f243bfffffff', '851f242ffffffff', '851f2437fffffff', '851f2423fffffff']"
13,GDANSK,785329,54.36023,18.64912,pl,851f09b3fffffff,"['851f0987fffffff', '851f09b7fffffff', '851f724bfffffff', '851f09a3fffffff', '851f09bbfffffff', '851f724ffffffff', '851f09b3fffffff']"
14,GDYNIA,12641287,54.5343,18.5459,pl,851f7243fffffff,"['851f7253fffffff', '851f7247fffffff', '851f7257fffffff', '851f724bfffffff', '851f725bfffffff', '851f724ffffffff', '851f7243fffffff']"
15,GRENÅ,987352,56.416794,10.93124,dk,851f2063fffffff,"['851f2077fffffff', '851f207bfffffff', '851f2073fffffff', '851f206ffffffff', '851f2067fffffff', '851f206bfffffff', '851f2063fffffff']"
16,GRUVÖN,32876239647,59.33213,13.1166069,se,8508b517fffffff,"['8508b5bbfffffff', '8508b5abfffffff', '8508b503fffffff', '8508b58ffffffff', '8508b507fffffff', '8508b513fffffff', '8508b517fffffff']"
17,GÄVLE,742938,60.683293,17.183295,se,85088557fffffff,"['85088547fffffff', '8508851bfffffff', '8508850bfffffff', '85088543fffffff', '850885cffffffff', '85088553fffffff', '85088557fffffff']"
18,GÖTEBORG,9469372,57.7169,11.88329,se,851f25abfffffff,"['851f25affffffff', '851f2533fffffff', '851f2507fffffff', '851f25bbfffffff', '851f25a3fffffff', '851f2517fffffff', '851f25abfffffff']"
19,HALLSTAVIK,42199,60.0667,18.599,se,85088073fffffff,"['85088047fffffff', '85088077fffffff', '85088063fffffff', '8508800ffffffff', '8508800bfffffff', '8508807bfffffff', '85088073fffffff']"
20,HALMSTAD,987124,56.66124,12.86654,se,851f2177fffffff,"['851f212bfffffff', '851f210ffffffff', '851f2173fffffff', '851f2163fffffff', '851f2167fffffff', '851f213bfffffff', '851f2177fffffff']"
21,HAMINA,879421,60.566475,27.183324,fi,85112213fffffff,"['851122c7fffffff', '8511221bfffffff', '8511228bfffffff', '85112203fffffff', '8511228ffffffff', '85112217fffffff', '85112213fffffff']"
22,HANKO/HANGÖ,89742,59.81432,22.967483,fi,850898a3fffffff,"['850898affffffff', '850898b7fffffff', '850898abfffffff', '850898b3fffffff', '850898bbfffffff', '850898a7fffffff', '850898a3fffffff']"
23,HARAHOLMEN,984721,65.2330923,21.6350012,se,8508f163fffffff,"['8508f16bfffffff', '8508f16ffffffff', '8508f173fffffff', '8508f17bfffffff', '8508f177fffffff', '8508f167fffffff', '8508f163fffffff']"
24,HARGSHAMN,10560147,60.166665,18.48354,se,8508800ffffffff,"['85088003fffffff', '8508803bfffffff', '85088077fffffff', '85088007fffffff', '8508800bfffffff', '85088073fffffff', '8508800ffffffff']"
25,HELSINGBORG,87213,56.0542,12.69432,se,851f2327fffffff,"['851f2337fffffff', '851f2323fffffff', '851f232ffffffff', '851f2e5bfffffff', '851f2ecbfffffff', '851f2e53fffffff', '851f2327fffffff']"
26,HELSINGÖR,91321,56.0324,12.55769,dk,851f2323fffffff,"['851f2337fffffff', '851f232ffffffff', '851f2333fffffff', '851f233bfffffff', '851f232bfffffff', '851f2327fffffff', '851f2323fffffff']"
27,HELSINKI/HELSINGFORS,12,60.142,24.9512,fi,851126d3fffffff,"['8508996bfffffff', '851126c3fffffff', '851126d7fffffff', '8508996ffffffff', '85089ba7fffffff', '851126dbfffffff', '851126d3fffffff']"
28,HOLMSUND,82,63.666554,20.33049,se,8508f293fffffff,"['8508f283fffffff', '8508f297fffffff', '8508f29bfffffff', '8508f62bfffffff', '8508f62ffffffff', '8508f667fffffff', '8508f293fffffff']"
29,HUDIKSVALL,62,61.73324,17.116653,se,8508aa93fffffff,"['8508ae2ffffffff', '8508ae67fffffff', '8508aa83fffffff', '8508aa9bfffffff', '8508ae2bfffffff', '8508aa97fffffff', '8508aa93fffffff']"
30,HUSUM,28,63.35443,19.15326,se,8508f6c7fffffff,"['8508f6d7fffffff', '8508f6cffffffff', '8508f6c3fffffff', '8508f68bfffffff', '8508f61bfffffff', '8508f613fffffff', '8508f6c7fffffff']"
31,HÄRNÖSAND,19,62.63432,17.93243,se,8508a82ffffffff,"['8508a95bfffffff', '8508a827fffffff', '8508a82bfffffff', '8508ab97fffffff', '8508a823fffffff', '8508ab93fffffff', '8508a82ffffffff']"
32,IGGESUND,21,61.6366,17.14325,se,8508ae67fffffff,"['8508ae63fffffff', '8508aa9bfffffff', '8508ae77fffffff', '8508ae6ffffffff', '8508ae2bfffffff', '8508aa93fffffff', '8508ae67fffffff']"
33,INKOO,924,60.01659,23.916923,fi,85089953fffffff,"['8508995bfffffff', '85089957fffffff', '85089827fffffff', '850899cffffffff', '850899cbfffffff', '85089943fffffff', '85089953fffffff']"
34,KALMAR,1249,56.66327,16.36777,se,851f2d6bfffffff,"['851f2d63fffffff', '851f29d3fffffff', '851f2d6ffffffff', '851f2d7bfffffff', '851f28b7fffffff', '851f28a7fffffff', '851f2d6bfffffff']"
35,KANTVIK,8412,60.08324,24.395,fi,8508994ffffffff,"['85089bb7fffffff', '85089bb3fffffff', '85089943fffffff', '8508994bfffffff', '8508997bfffffff', '85089947fffffff', '8508994ffffffff']"
36,KARLSBORG,4559,65.912,23.282059,se,8508c637fffffff,"['8508c0cbfffffff', '8508c623fffffff', '8508c627fffffff', '8508c633fffffff', '8508c0dbfffffff', '8508c6affffffff', '8508c637fffffff']"
37,KARLSHAMN,839,56.1658,14.86701,se,851f2853fffffff,"['851f285bfffffff', '851f2843fffffff', '851f2857fffffff', '851f28cffffffff', '851f28cbfffffff', '851f2e27fffffff', '851f2853fffffff']"
38,KARLSKRONA,532,56.1685,15.59832,se,851f280ffffffff,"['851f283bfffffff', '851f2877fffffff', '851f2807fffffff', '851f2873fffffff', '851f2803fffffff', '851f280bfffffff', '851f280ffffffff']"
39,KARLSTAD,129,59.36709,13.54001,se,8508b507fffffff,"['8508b533fffffff', '8508b5abfffffff', '8508b503fffffff', '8508b53bfffffff', '8508b50ffffffff', '8508b517fffffff', '8508b507fffffff']"
40,KASKINEN,423,62.38359,21.217,fi,85088d4ffffffff,"['85088d4bfffffff', '850888b7fffffff', '85088d47fffffff', '850888b3fffffff', '85088d7bfffffff', '85088d43fffffff', '85088d4ffffffff']"
41,KEMI,591,65.7343,24.566669,fi,8508c28ffffffff,"['8508c217fffffff', '8508c283fffffff', '8508c2bbfffffff', '8508c213fffffff', '8508c28bfffffff', '8508c287fffffff', '8508c28ffffffff']"
42,KIEL,111,54.3164,10.08312,de,851f061bfffffff,"['851f06c7fffffff', '851f0657fffffff', '851f0613fffffff', '851f0603fffffff', '851f060bfffffff', '851f06cffffffff', '851f061bfffffff']"
43,KLAIPEDA,9493,55.7176,21.13405,lt,851f71dbfffffff,"['851f71d3fffffff', '851f71c3fffffff', '851f70affffffff', '851f7037fffffff', '851f70a7fffffff', '851f71cbfffffff', '851f71dbfffffff']"
44,KOKKOLA,231,63.8495,23.1333,fi,8508d413fffffff,"['8508d417fffffff', '8508d403fffffff', '8508d48ffffffff', '8508d48bfffffff', '8508d4c7fffffff', '8508d41bfffffff', '8508d413fffffff']"
45,KOTKA,74,60.4667,26.951,fi,851122d7fffffff,"['851122c3fffffff', '851122c7fffffff', '8511228bfffffff', '851122d3fffffff', '8511266ffffffff', '8511229bfffffff', '851122d7fffffff']"
46,KOVERHAR,104,59.88351,23.21656,fi,850898affffffff,"['85089837fffffff', '850898a3fffffff', '850899dbfffffff', '850898abfffffff', '85089833fffffff', '850898a7fffffff', '850898affffffff']"
47,KRAMFORS,321441,62.9345,17.7844,se,8508a953fffffff,"['8508a9cffffffff', '8508a95bfffffff', '8508a957fffffff', '8508a827fffffff', '8508a9cbfffffff', '8508a943fffffff', '8508a953fffffff']"
48,KRISTIINANKAUPUNKI,43024,62.2669,21.38349,fi,850888b3fffffff,"['85088887fffffff', '850888a3fffffff', '85088d4bfffffff', '850888bbfffffff', '850888b7fffffff', '85088d4ffffffff', '850888b3fffffff']"
49,KRISTINEHAMN,21414,59.31659,14.1123,se,8508b567fffffff,"['8508b563fffffff', '8508b577fffffff', '8508b19bfffffff', '8508b56ffffffff', '8508b193fffffff', '8508b52bfffffff', '8508b567fffffff']"
50,KÖGE,55,55.45124,12.183431,dk,851f05c3fffffff,"['851f05d7fffffff', '851f05c7fffffff', '851f05d3fffffff', '851f05cbfffffff', '851f05dbfffffff', '851f05cffffffff', '851f05c3fffffff']"
51,KÖPENHAMN,4305,55.68332,12.5899,dk,851f0583fffffff,"['851f0587fffffff', '851f058ffffffff', '851f0593fffffff', '851f058bfffffff', '851f059bfffffff', '851f0597fffffff', '851f0583fffffff']"
52,KÖPING,989,59.55,16.01669,se,8508b12bfffffff,"['8508b167fffffff', '8508b13bfffffff', '8508b123fffffff', '8508b12ffffffff', '85088693fffffff', '8508b177fffffff', '8508b12bfffffff']"
53,LANDSKRONA,6312,55.8678,12.83,se,851f2e5bfffffff,"['851f232ffffffff', '851f2e4bfffffff', '851f2e43fffffff', '851f2e53fffffff', '851f0597fffffff', '851f2327fffffff', '851f2e5bfffffff']"
54,LIDKÖPING,40042,58.5167,13.05118335,se,8508b477fffffff,"['8508b463fffffff', '8508b467fffffff', '8508b43bfffffff', '8508b42bfffffff', '8508b473fffffff', '8508b40ffffffff', '8508b477fffffff']"
55,LILLA EDET,5053,58.1333,11895.11699,se,8508b2a3fffffff,"['8508b2abfffffff', '8508b2b7fffffff', '8508b2affffffff', '8508b2b3fffffff', '8508b2a7fffffff', '8508b2bbfffffff', '8508b2a3fffffff']"
56,LOVIISA,213497901,60.44905,26.2526,fi,85112663fffffff,"['85112673fffffff', '85112667fffffff', '85112677fffffff', '8511267bfffffff', '8511266ffffffff', '8511266bfffffff', '85112663fffffff']"
57,LULEÅ,49490,65.58393,22.16689,se,8508c683fffffff,"['8508c68ffffffff', '8508c693fffffff', '8508c697fffffff', '8508c687fffffff', '8508c69bfffffff', '8508c68bfffffff', '8508c683fffffff']"
58,LYSEKIL,94,58.26658,11.43327,se,85099a6ffffffff,"['85099a6bfffffff', '85099a67fffffff', '8508b4d7fffffff', '85099a63fffffff', '8508b4d3fffffff', '8508b49bfffffff', '85099a6ffffffff']"
59,LÄNSI,9217,59.522,10.773,no,8509994ffffffff,"['8509994bfffffff', '8509997bfffffff', '85099947fffffff', '85099943fffffff', '85099bb3fffffff', '85099bb7fffffff', '8509994ffffffff']"
60,LÖDÖSE,398,58.0401,12.149,se,8508b4cbfffffff,"['851f25b3fffffff', '851f25b7fffffff', '8508b4cffffffff', '8508b453fffffff', '8508b4c3fffffff', '8508b4dbfffffff', '8508b4cbfffffff']"
61,MALMÖ,932,55.616,13.0255,se,851f05bbfffffff,"['851f0587fffffff', '851f05abfffffff', '851f0517fffffff', '851f058ffffffff', '851f05b3fffffff', '851f05a3fffffff', '851f05bbfffffff']"
62,MARIEHAMN,99,60.0949,19.934,fi,850883c7fffffff,"['850883c3fffffff', '850883d7fffffff', '8508838bfffffff', '8508831bfffffff', '85088313fffffff', '850883cffffffff', '850883c7fffffff']"
63,MARIESTAD,4004,58.717,13.817,se,8508b087fffffff,"['8508b0b3fffffff', '8508b0bbfffffff', '8508b097fffffff', '8508b083fffffff', '8508b54bfffffff', '8508b08ffffffff', '8508b087fffffff']"
64,PORI/MÄNTYLUOTO,8475,61.62,21.485,fi,850888cbfffffff,"['850888dbfffffff', '85088853fffffff', '850888c3fffffff', '85088e37fffffff', '85088e27fffffff', '850888cffffffff', '850888cbfffffff']"
65,NAANTALI/NÅDENDAL,91013,60.467,22.017,fi,85089dbbfffffff,"['85089d87fffffff', '85089db3fffffff', '85089d8ffffffff', '85089dabfffffff', '85089da3fffffff', '85089d17fffffff', '85089dbbfffffff']"
66,NORRKÖPING,1416,58.61,16.194,se,8508b303fffffff,"['8508b30ffffffff', '8508b317fffffff', '8508b30bfffffff', '8508b31bfffffff', '8508b313fffffff', '8508b307fffffff', '8508b303fffffff']"
67,NORRSUNDET,9593,60.9341,17.1671,se,85088503fffffff,"['8508851bfffffff', '8508850bfffffff', '85088513fffffff', '8508850ffffffff', '85088517fffffff', '85088507fffffff', '85088503fffffff']"
68,NYNÄSHAMN,953,58.9,17.95,se,850895bbfffffff,"['850895a3fffffff', '85089517fffffff', '850895b3fffffff', '85089587fffffff', '8508958ffffffff', '850895abfffffff', '850895bbfffffff']"
69,OSKARSHAMN,12,57.25,16.45,se,851f2d17fffffff,"['851f2d13fffffff', '851f2dbbfffffff', '851f2d07fffffff', '851f2d03fffffff', '851f2d8ffffffff', '851f2dabfffffff', '851f2d17fffffff']"
70,OSLO,403,59.9,10.784,no,8509993bfffffff,"['85099907fffffff', '8509990ffffffff', '85099977fffffff', '85099923fffffff', '85099933fffffff', '8509992bfffffff', '8509993bfffffff']"
71,OTTERBÄCKEN,224,58.949,14.0294,se,8508b0b7fffffff,"['8508b0b3fffffff', '8508b54ffffffff', '8508b0a7fffffff', '8508b56bfffffff', '8508b57bfffffff', '8508b0a3fffffff', '8508b0b7fffffff']"
72,OULU,2140,65.0167,25.4667,fi,8508d183fffffff,"['8508d19bfffffff', '8508d193fffffff', '8508d187fffffff', '8508d197fffffff', '8508d18bfffffff', '8508d18ffffffff', '8508d183fffffff']"
73,OXELÖSUND,994,58.667,17.121,se,8508b367fffffff,"['85089593fffffff', '8508b36ffffffff', '8508b363fffffff', '8508b377fffffff', '8508959bfffffff', '8508b32bfffffff', '8508b367fffffff']"
74,PIETARSAARI,3+24442,63.684,22.7272,fi,8508d4d7fffffff,"['8508f26ffffffff', '8508d4c3fffffff', '8508d48bfffffff', '8508d49bfffffff', '8508d4c7fffffff', '8508d4d3fffffff', '8508d4d7fffffff']"
75,RAAHE,3280995,64.6845,24.4836,fi,8508d573fffffff,"['8508d50bfffffff', '8508d57bfffffff', '8508d577fffffff', '8508d563fffffff', '8508d50ffffffff', '8508d547fffffff', '8508d573fffffff']"
