id,port,country,area,communityId
350,SIMRISHAMN,se,baltic,15
9593,NORRSUNDET,se,baltic,15
111,KIEL,de,baltic,15
747712,Eckerö,fi,baltic,15
12,HELSINKI/HELSINGFORS,fi,baltic,15
89742,HANKO/HANGÖ,fi,baltic,15
88,VISBY,se,baltic,15
89,RAUMA,fi,baltic,15
45647,PRIMORSK,ru,baltic,15
42326,RONEHAMN,se,baltic,15
1249,KALMAR,se,baltic,15
492,SLITE,se,baltic,15
939929,ÖRNSKÖLDSVIK,se,baltic,15
8312,SÖLVESBORG,se,baltic,15
839,KARLSHAMN,se,baltic,15
7324723,STORUGNS,se,baltic,15
10560147,HARGSHAMN,se,baltic,15
924,INKOO,fi,baltic,15
1049,VAASA,fi,baltic,15
9557327,DEGERHAMN,se,baltic,15
321441,KRAMFORS,se,baltic,15
95772812,STRÅ,se,baltic,15
938412,SUNDSVALL,se,baltic,15
9492214,MÖNSTERÅS,se,baltic,15
994,OXELÖSUND,se,baltic,15
28,HUSUM,se,baltic,15
591,KEMI,fi,baltic,15
9949,Parainen,fi,baltic,15
856529,GRISSLEHAMN,se,baltic,15
3+24442,PIETARSAARI,fi,baltic,15
645,MUUGA,ee,baltic,15
24325,TALLIN,ee,baltic,15
553,SKÖLDVIK,fi,baltic,15
99,MARIEHAMN,fi,baltic,15
104,KOVERHAR,fi,baltic,15
9421815,MUSSALO,fi,baltic,15
1416,NORRKÖPING,se,baltic,15
587,SÖRÅKER,se,baltic,15
3280995,RAAHE,fi,baltic,15
9112,TAALINTEHDAS,fi,baltic,15
532,KARLSKRONA,se,baltic,15
1274,PALDISKI,ee,baltic,15
984721,HARAHOLMEN,se,baltic,15
43827439,TORNIO,fi,baltic,15
4325,LÅNGNÄS,fi,baltic,15
848,SKUTSKÄR,se,baltic,15
8928379,UUSIKAUPUNKI/NYSTAD,fi,baltic,15
213497901,LOVIISA,fi,baltic,15
190,SAINT PETERSBURG,ru,baltic,15
8412,KANTVIK,fi,baltic,15
9238,BERGKVARA,se,baltic,15
91013,NAANTALI/NÅDENDAL,fi,baltic,15
2140,OULU,fi,baltic,15
82,HOLMSUND,se,baltic,15
62,HUDIKSVALL,se,baltic,15
89412,ÅHUS,se,baltic,15
879421,HAMINA,fi,baltic,15
49490,LULEÅ,se,baltic,15
93482,SILLAMÄE,ee,baltic,15
81274125,LOKSA,ee,baltic,15
8475,PORI/MÄNTYLUOTO,fi,baltic,15
8214872,UST-LUGA,ru,baltic,15
423,KASKINEN,fi,baltic,15
231,KOKKOLA,fi,baltic,15
12812,SÖDERHAMN,se,baltic,15
1945,SKELLEFTEHAMN,se,baltic,15
19,HÄRNÖSAND,se,baltic,15
9447,KLINTEHAMN,se,baltic,15
34679,KUNDA,ee,baltic,15
9327575,VYBORG,ru,baltic,15
4620,RUNDVIK,se,baltic,15
958123,STOCKA,se,baltic,15
9393214,FÖRBY,fi,baltic,15
14928,VYSOTSKI,ru,baltic,15
4559,KARLSBORG,se,baltic,15
12,OSKARSHAMN,se,baltic,34
wfp.17455,Diliskelesi,tr,black,48
wfp.16705,Dikili,tr,black,94
wfp.16923,Aamshite,lb,black,98
wfp.17321,Agio Theodoroi,gr,black,98
wfp.17638,Idhra (Hydra),gr,black,98
wfp.16537,Naxos,gr,black,98
wfp.14332,Eleusis,gr,black,98
wfp.17356,Lavrion (Laurium),gr,black,98
wfp.16287,Nea Karvali,gr,black,98
wfp.15978,Abu Qir,eg,black,98
wfp.15456,Tasucu,tr,black,98
wfp.14973,Aliaga,tr,black,98
wfp.14402,Foca,tr,black,98
wfp.15457,Bodrum,tr,black,98
wfp.17202,Dhekelia,UNKNOWN,black,98
wfp.16242,Tel Aviv,il,black,98
wfp.16226,Haifa,il,black,98
wfp.15436,Izmir,tr,black,98
wfp.14964,Cesme,tr,black,98
wfp.15678,Canakkale,tr,black,98
wfp.16047,Amorgos,gr,black,98
wfp.14333,Syros (Syra),gr,black,98
wfp.17307,Yali Island,gr,black,98
wfp.16048,Kos,gr,black,98
wfp.17236,Rhodes,gr,black,98
wfp.14975,Gelibolu,tr,black,98
wfp.16890,Mersin,tr,black,98
wfp.15432,Ashdod,il,black,98
wfp.14440,Thira,gr,black,98
wfp.14848,Patmos,gr,black,98
wfp.16270,Alexandria,eg,black,98
wfp.17550,Ain El Mraisse _El Jisr,lb,black,98
wfp.14569,Akrotiri,UNKNOWN,black,98
wfp.15807,Limassol,cy,black,98
wfp.15715,Hadera,il,black,98
wfp.17201,Vassiliko,cy,black,98
wfp.15767,Skiathos,gr,black,98
wfp.17523,Ceyhan,tr,black,98
wfp.17472,Kalimnos Island,gr,black,98
wfp.17532,El Dekheila,eg,black,98
wfp.15779,Keramoti,gr,black,98
wfp.17338,Kymi (Kimi),gr,black,98
wfp.16974,Yumurtalik Bay,tr,black,98
wfp.15217,Iskenderun,tr,black,98
wfp.16913,Mytilene,gr,black,98
wfp.15964,Fethiye,tr,black,98
wfp.15524,Otranto,it,black,98
wfp.15189,Finike,tr,black,98
wfp.15692,Ayvalik,tr,black,98
wfp.16296,Skopelos,gr,black,98
wfp.14656,Limni,gr,black,98
wfp.17639,Achladi,gr,black,98
wfp.16428,Samos,gr,black,98
wfp.16076,Paphos,cy,black,98
wfp.17108,Gocek,tr,black,98
wfp.14476,Gulluk,tr,black,98
wfp.15138,Anamur,tr,black,98
wfp.15588,Bar,me,black,98
wfp.16457,Kas,tr,black,98
wfp.17383,Akdeniz,tr,black,98
wfp.15019,El Aabde,lb,black,98
wfp.17592,Saida,lb,black,98
wfp.15275,Thasos,gr,black,98
wfp.15773,Parga,gr,black,98
wfp.14666,En Naqoura,lb,black,98
wfp.17149,Latchi,cy,black,98
wfp.14686,Zelenika,me,black,98
wfp.16019,Ej Jiye,lb,black,98
352995,VÄSTERVIK,se,baltic,106
wfp.16463,Kusadasi,tr,black,114
wfp.14761,Reni,ua,black,115
wfp.17151,Ambarli,tr,black,115
wfp.14866,Braila,ro,black,115
wfp.14959,Derince,tr,black,115
wfp.16140,Beykoz,tr,black,115
wfp.15955,Mudanya,tr,black,115
wfp.15674,Tuzla,tr,black,115
wfp.14575,Basarabi,ro,black,115
wfp.17402,Nikolayev,ua,black,115
wfp.14938,Tuapse,ru,black,115
wfp.16454,Eregli,tr,black,115
wfp.16448,Maltepe,tr,black,115
wfp.15023,Constanta,ro,black,115
wfp.17092,Buyukcekmece,tr,black,115
wfp.16192,Amasra,tr,black,115
wfp.16617,Sariyer,tr,black,115
wfp.15585,Itea,gr,black,115
wfp.16868,Ilyichevsk,ua,black,115
wfp.15644,Ayancik,tr,black,115
wfp.17486,Sarkoy,tr,black,115
wfp.14757,Odessa,ua,black,115
wfp.15144,Mangalia,ro,black,115
wfp.16464,Zonguldak,tr,black,115
wfp.14960,Samsun,tr,black,115
wfp.16857,Oktyabrsk,ua,black,115
wfp.14337,Sulina (Port Et Zone Franche),ro,black,115
wfp.17332,Supsa,ge,black,115
wfp.17558,Bartin,tr,black,115
wfp.16882,Izmail,ua,black,115
wfp.14762,Mariupol,ua,black,115
wfp.16216,Tekirdag,tr,black,115
wfp.17401,Yuzhnyy,ua,black,115
wfp.14905,Erdek,tr,black,115
wfp.17055,Bandirmar,tr,black,115
wfp.16880,Sevastopol,ua,black,115
wfp.16608,Burgas,bg,black,115
wfp.15956,Karabiga,tr,black,115
wfp.17094,Poti,ge,black,115
wfp.15695,Inebolu,tr,black,115
wfp.14907,Novorossiysk,ru,black,115
wfp.15505,Varna,bg,black,115
wfp.14758,Kherson,ua,black,115
wfp.14577,Michurin,bg,black,115
wfp.15957,Sinop,tr,black,115
wfp.17093,Batumi,ge,black,115
wfp.15896,Cide,tr,black,115
wfp.16881,Berdyansk,ua,black,115
wfp.15863,Medgidia,ro,black,115
wfp.14759,Yalta,ua,black,115
wfp.14760,Kerch,ua,black,115
wfp.15237,Batroun,lb,black,123
wfp.16467,Marmaris,tr,black,155
8092,TROLLHÄTTAN,se,baltic,168
9217,LÄNSI,no,baltic,168
6312,LANDSKRONA,se,baltic,168
87213,HELSINGBORG,se,baltic,168
932,MALMÖ,se,baltic,168
91321,HELSINGÖR,dk,baltic,168
130593,YSTAD,se,baltic,168
55,KÖGE,dk,baltic,168
4305,KÖPENHAMN,dk,baltic,168
398,LÖDÖSE,se,baltic,168
32140,HÖGANÄS,se,baltic,168
987352,GRENÅ,dk,baltic,168
94,LYSEKIL,se,baltic,168
897421,FREDRIKSHAMN,dk,baltic,168
2321,Agnesberg,se,baltic,168
987124,HALMSTAD,se,baltic,168
782598,TRELLEBORG,se,baltic,168
8241721,FALKENBERG,se,baltic,168
743,VARBERG,se,baltic,168
403,OSLO,no,baltic,168
211239847,STENUNGSUND,se,baltic,168
4219,BROFJORDEN,se,baltic,168
40421948,STRÖMSTAD,se,baltic,168
7464,VENTSPILS,lv,baltic,168
4004,MARIESTAD,se,baltic,168
4215,UDDEVALLA,se,baltic,168
8128,HÖNSÄTER,se,baltic,168
40042,LIDKÖPING,se,baltic,168
94486,SKOGHALL,se,baltic,168
224,OTTERBÄCKEN,se,baltic,168
32876239647,GRUVÖN,se,baltic,168
74829,KALAJOKI,fi,baltic,188
wfp.17357,Belgorod-Dnestrovskiy,ua,black,192
wfp.16914,Ashkelon,il,black,206
wfp.14629,Sitia,gr,black,212
90433,VÄSTERÅS,se,baltic,216
985,STOCKHOLM,se,baltic,216
4949,BÅLSTA,se,baltic,216
989,KÖPING,se,baltic,216
953,NYNÄSHAMN,se,baltic,216
4299,SÖDERTÄLJE,se,baltic,216
98120,KAPELLSKÄR,se,baltic,216
4210,ÖREGRUND,se,baltic,216
75684,Lappeenranta,fi,baltic,220
21414,KRISTINEHAMN,se,baltic,222
wfp.14392,Kalecik,cy,black,229
wfp.16169,Famagusta,cy,black,229
21,IGGESUND,se,baltic,231
wfp.16361,Corinth,gr,black,236
93251,ÅMÅL,se,baltic,239
wfp.15965,Rize,tr,black,240
wfp.17747,Istanbul,tr,black,242
wfp.14963,Fatsa,tr,black,243
wfp.14664,Hopa,tr,black,244
wfp.16883,Evpatoria,ua,black,245
wfp.14383,Sidi Kerir,eg,black,248
wfp.15463,Ordu,tr,black,249
wfp.17352,Ust Dunaysk,ua,black,250
wfp.16210,Trabzon,tr,black,253
wfp.15198,Gorele,tr,black,253
wfp.17304,Gemikonagi,cy,black,256
wfp.14730,Cheikh Zennad,lb,black,259
wfp.16209,Giresun,tr,black,260
